STA,Lat,Long
25920,-6.214602903,106.5529318
25925,-6.214575881,106.5528955
25930,-6.214548668,106.5528595
25935,-6.214521455,106.5528234
25940,-6.214494151,106.5527874
25945,-6.214466794,106.5527514
25950,-6.214439409,106.5527154
25955,-6.214411906,106.5526796
25960,-6.214384403,106.5526437
25965,-6.214356827,106.5526079
25970,-6.214329216,106.5525721
25975,-6.214301604,106.5525364
25980,-6.214273938,106.5525006
25985,-6.214246272,106.5524649
25990,-6.214218488,106.5524292
25995,-6.21419064,106.5523936
26000,-6.214162775,106.5523581
26005,-6.21413481,106.5523226
26010,-6.214106844,106.552287
26015,-6.214078743,106.5522517
26020,-6.21405057,106.5522163
26025,-6.214022378,106.552181
26030,-6.213994077,106.5521458
26035,-6.213965777,106.5521105
26040,-6.213937349,106.5520754
26045,-6.213908867,106.5520403
26050,-6.213880385,106.5520052
26055,-6.213851894,106.5519701
26060,-6.213823394,106.551935
26065,-6.213794804,106.5519
26070,-6.213766159,106.5518651
26075,-6.213737504,106.5518301
26080,-6.213708796,106.5517952
26085,-6.213680078,106.5517603
26090,-6.213651352,106.5517255
26095,-6.213622607,106.5516906
26100,-6.213593835,106.5516557
26105,-6.213564927,106.551621
26110,-6.213536028,106.5515862
26115,-6.213507066,106.5515515
26120,-6.213478076,106.5515169
26125,-6.213449068,106.5514822
26130,-6.213420015,106.5514476
26135,-6.213390962,106.551413
26140,-6.213361773,106.5513785
26145,-6.213332521,106.551344
26150,-6.213303259,106.5513096
26155,-6.213273934,106.5512752
26160,-6.213244609,106.5512408
26165,-6.21321523,106.5512064
26170,-6.213185814,106.5511721
26175,-6.213156389,106.5511378
26180,-6.213126919,106.5511036
26185,-6.213097449,106.5510693
26190,-6.213067916,106.5510351
26195,-6.213038355,106.5510009
26200,-6.213008785,106.5509667
26205,-6.212979134,106.5509326
26210,-6.212949482,106.5508985
26215,-6.212919767,106.5508644
26220,-6.212890025,106.5508304
26225,-6.212860265,106.5507964
26230,-6.212830468,106.5507624
26235,-6.212800672,106.5507284
26240,-6.212770794,106.5506945
26245,-6.21274087,106.5506607
26250,-6.212710947,106.5506268
26255,-6.212680996,106.5505929
26260,-6.212651037,106.5505591
26265,-6.212621086,106.5505253
26270,-6.212591135,106.5504914
26275,-6.212561176,106.5504576
26280,-6.212531143,106.5504238
26285,-6.212501111,106.55039
26290,-6.212471061,106.5503563
26295,-6.212440992,106.5503225
26300,-6.212410897,106.5502888
26305,-6.212380674,106.5502552
26310,-6.212350442,106.5502216
26315,-6.21232021,106.550188
26320,-6.212289988,106.5501544
26325,-6.212259738,106.5501208
26330,-6.212229424,106.5500873
26335,-6.212199111,106.5500538
26340,-6.212168798,106.5500202
26345,-6.212138475,106.5499867
26350,-6.212108153,106.5499532
26355,-6.212077794,106.5499197
26360,-6.212047445,106.5498862
26365,-6.212017104,106.5498527
26370,-6.211986772,106.5498192
26375,-6.211956441,106.5497857
26380,-6.211926118,106.5497522
26385,-6.211895787,106.5497187
26390,-6.211865474,106.5496852
26395,-6.211835169,106.5496517
26400,-6.211804865,106.5496181
26405,-6.211774561,106.5495846
26410,-6.211744256,106.5495511
26415,-6.211713934,106.5495175
26420,-6.211683611,106.549484
26425,-6.211653289,106.5494505
26430,-6.211622966,106.549417
26435,-6.211592644,106.5493835
26440,-6.21156233,106.54935
26445,-6.211532026,106.5493164
26450,-6.211501713,106.5492829
26455,-6.211471417,106.5492494
26460,-6.211441122,106.5492158
26465,-6.211410917,106.5491822
